company;year;country;ERROWIN;MEPAWIN;DISPERWIN;ESGScoreWIN;ESGCombWIN;ENVPillarWIN;SocialPillarWIN;GovPillarWIN;QANALYST
GFIJ.J;2015;South Africa;0.99088838;0.00173490;0.24212500;73.80;73.80;72.69;73.81;75.37;14
GFIJ.J;2014;South Africa;0.98736962;0.00173490;0.19291600;71.23;71.23;73.21;65.16;77.00;12
HARJ.J;2023;South Africa;0.95259285;0.00173490;0.14907141;67.82;52.35;70.15;76.00;47.10;8
HARJ.J;2022;South Africa;0.96105305;0.00173490;0.28927653;66.02;39.91;70.97;76.00;42.06;8
HARJ.J;2021;South Africa;0.90887383;0.00173490;0.10449512;65.76;65.76;73.37;76.00;32.77;8
HARJ.J;2020;South Africa;0.98212244;0.00173490;0.36225000;70.99;51.40;72.37;76.00;51.17;7
HARJ.J;2019;South Africa;0.97418722;0.00173490;0.36225000;69.31;62.20;70.05;76.00;52.76;7
HARJ.J;2018;South Africa;0.85246735;0.00173490;0.26759295;67.79;40.37;67.06;76.00;50.19;10
HARJ.J;2017;South Africa;0.73011809;0.00173490;0.36225000;71.10;60.01;71.28;76.00;51.83;10
HARJ.J;2016;South Africa;0.87904640;0.00173490;0.35747161;74.00;50.34;71.27;76.00;74.95;10
HARJ.J;2015;South Africa;1.18239752;0.00173490;0.36225000;74.00;74.00;68.37;76.00;77.00;13
HARJ.J;2014;South Africa;0.97889545;0.00173490;0.36225000;72.56;43.74;70.36;76.00;69.54;13
IMPJ.J;2023;South Africa;2.34380000;0.00173490;0.11708784;15.00;15.00;15.00;17.00;15.00;10
IMPJ.J;2022;South Africa;2.34380000;0.00173490;0.13118965;74.00;42.81;74.00;73.59;60.23;10
IMPJ.J;2021;South Africa;2.34380000;0.00173490;0.21336023;74.00;74.00;74.00;73.47;61.60;10
IMPJ.J;2020;South Africa;2.34380000;0.00173490;0.19703886;72.82;69.14;74.00;73.58;57.86;8
IMPJ.J;2019;South Africa;2.34380000;0.00173490;0.17128568;74.00;74.00;74.00;76.00;67.95;7
IMPJ.J;2018;South Africa;0.62520294;0.00173490;0.36225000;65.62;65.62;68.58;73.83;47.92;12
IMPJ.J;2017;South Africa;1.68721743;0.00173490;0.36225000;50.82;43.35;67.96;45.59;34.84;14
IMPJ.J;2016;South Africa;1.00168393;0.00173490;0.36225000;59.12;59.12;72.24;41.28;69.57;13
IMPJ.J;2015;South Africa;0.93475953;0.00173490;0.36225000;62.06;62.06;65.03;44.08;77.00;16
IMPJ.J;2014;South Africa;0.00000000;0.00000000;0.35785202;58.47;45.46;65.58;43.69;72.50;15
SUIJ.J;2023;South Africa;0.98617469;0.00173490;0.00000000;66.31;66.31;69.55;76.00;39.33;1
SUIJ.J;2022;South Africa;0.00000000;0.00000000;0.00000000;61.66;61.66;74.00;76.00;26.36;0
SUIJ.J;2021;South Africa;0.00000000;0.00000000;0.00000000;64.55;64.55;74.00;73.66;38.29;0
SUIJ.J;2020;South Africa;0.00000000;0.00000000;0.00000000;71.05;71.05;74.00;76.00;43.36;0
SUIJ.J;2019;South Africa;1.21628173;0.00173490;0.00000000;64.05;64.05;74.00;76.00;23.12;1
SUIJ.J;2018;South Africa;0.85692033;0.00173490;0.15317354;58.37;58.37;73.25;70.38;26.96;2
SUIJ.J;2017;South Africa;0.80385005;0.00173490;0.18782677;60.17;60.17;74.00;69.88;29.23;3
SUIJ.J;2016;South Africa;0.00000000;0.00000000;0.00000000;59.50;48.80;74.00;63.20;36.47;0
SUIJ.J;2015;South Africa;0.00000000;0.00000000;0.00000000;66.18;66.18;74.00;66.71;54.34;0
SUIJ.J;2014;South Africa;0.00000000;0.00000000;0.00000000;49.28;49.28;70.00;42.83;40.30;0
MURJ.J;2023;South Africa;1.08732698;0.00173490;0.20481928;64.51;64.51;50.98;68.77;77.00;2
MURJ.J;2022;South Africa;0.87833334;0.00173490;0.00000000;66.12;66.12;53.39;76.00;67.74;1
MURJ.J;2021;South Africa;0.99860721;0.00173490;0.00000000;64.81;64.81;61.82;62.10;72.72;1
MURJ.J;2020;South Africa;0.97601338;0.00173490;0.36225000;56.75;56.15;50.39;64.52;54.94;2
MURJ.J;2019;South Africa;0.96927860;0.00173490;0.04268102;58.36;58.36;54.21;60.67;60.97;3
MURJ.J;2018;South Africa;0.99584278;0.00173490;0.29751998;59.89;57.22;62.48;41.35;77.00;4
MURJ.J;2017;South Africa;0.99818708;0.00173490;0.30426870;55.36;55.36;65.32;48.13;51.43;5
MURJ.J;2016;South Africa;0.99724365;0.00173490;0.01750374;56.99;50.37;63.63;48.48;59.52;4
MURJ.J;2015;South Africa;0.99166882;0.00173490;0.04808965;62.50;62.50;61.53;48.07;77.00;3
MURJ.J;2014;South Africa;0.95472449;0.00173490;0.06629194;66.06;56.24;66.42;49.97;77.00;6
PIKJ.J;2023;South Africa;1.07580816;0.00173490;0.17030894;68.90;68.90;62.47;76.00;61.88;9
PIKJ.J;2022;South Africa;1.10961044;0.00173490;0.04381647;65.24;65.24;74.00;66.77;53.81;7
PIKJ.J;2021;South Africa;0.25687894;0.00173490;0.16037071;62.57;62.57;74.00;66.13;44.96;12
PIKJ.J;2020;South Africa;0.60671265;0.00173490;0.05402715;59.10;59.10;72.22;61.62;44.58;11
PIKJ.J;2019;South Africa;0.77466319;0.00173490;0.05729812;49.13;49.13;56.58;59.06;27.32;10
PIKJ.J;2018;South Africa;0.93790054;0.00173490;0.02887214;55.92;55.92;59.87;58.86;48.08;12
PIKJ.J;2017;South Africa;0.97518490;0.00173490;0.02174540;60.83;60.83;68.28;69.15;41.61;14
PIKJ.J;2016;South Africa;0.98829398;0.00173490;0.02449533;56.84;56.84;66.73;70.51;27.14;15
PIKJ.J;2015;South Africa;0.97455183;0.00173490;0.03501576;15.00;15.00;15.00;17.00;15.00;13
PIKJ.J;2014;South Africa;0.00000000;0.00000000;0.10464148;52.34;52.34;61.74;59.40;33.59;13
SAPJ.J;2023;South Africa;0.00000000;0.00000000;0.29413882;61.77;61.77;30.44;76.00;77.00;7
SAPJ.J;2022;South Africa;0.00000000;0.00000000;0.11869033;74.00;74.00;73.76;76.00;76.33;7
SAPJ.J;2021;South Africa;0.97080202;0.00173490;0.22106299;74.00;74.00;70.84;76.00;77.00;5
SAPJ.J;2020;South Africa;1.00149919;0.00173490;0.36225000;74.00;74.00;72.77;76.00;77.00;7
SAPJ.J;2019;South Africa;0.77281572;0.00173490;0.08708779;74.00;74.00;74.00;76.00;77.00;7
SAPJ.J;2018;South Africa;0.00000000;0.00000000;0.04379942;74.00;74.00;59.69;76.00;77.00;6
SAPJ.J;2017;South Africa;0.00000000;0.00000000;0.01565939;74.00;74.00;69.77;76.00;77.00;6
SAPJ.J;2016;South Africa;0.00000000;0.00000000;0.03438947;74.00;74.00;74.00;76.00;77.00;5
SAPJ.J;2015;South Africa;0.00000000;0.00000000;0.03597918;74.00;74.00;70.15;76.00;77.00;5
SAPJ.J;2014;South Africa;0.00000000;0.00000000;0.09058442;73.23;73.23;60.26;76.00;77.00;5
TONJ.J;2023;South Africa;0.00000000;0.00000000;0.00000000;15.00;15.00;15.00;17.00;15.00;0
TONJ.J;2022;South Africa;0.00000000;0.00000000;0.00000000;15.00;15.00;15.00;17.00;15.00;
TONJ.J;2021;South Africa;0.00000000;0.00000000;0.00000000;60.39;50.20;50.39;75.77;44.82;0
TONJ.J;2020;South Africa;0.00000000;0.00000000;0.00000000;56.38;56.38;49.46;75.13;31.61;0
TONJ.J;2019;South Africa;0.00000000;0.00000000;0.00000000;66.31;66.31;51.22;75.05;67.80;0
TONJ.J;2018;South Africa;2.34380000;0.00173490;0.05257991;68.61;68.61;53.06;70.28;77.00;4
TONJ.J;2017;South Africa;1.71714995;0.00173490;0.07187081;63.99;63.99;52.85;64.95;74.58;4
TONJ.J;2016;South Africa;0.55163482;0.00173490;0.00471837;56.53;56.53;45.59;45.04;77.00;3
TONJ.J;2015;South Africa;0.07685858;0.00173490;0.24884125;58.18;35.67;48.41;45.37;77.00;4
TONJ.J;2014;South Africa;2.34380000;0.00173490;0.05326680;55.30;55.30;44.08;43.36;77.00;5
ERW.BK;2023;Thailand;0.99712200;0.00173490;0.12997365;15.00;15.00;15.00;17.00;15.00;14
ERW.BK;2022;Thailand;1.00127152;0.00173490;0.22011276;58.56;58.56;53.38;57.68;64.54;11
ERW.BK;2021;Thailand;1.00624892;0.00173490;0.23276921;49.75;49.75;46.06;42.75;63.58;15
ERW.BK;2020;Thailand;1.00656597;0.00173490;0.23206266;40.53;40.53;36.75;23.95;68.81;14
ERW.BK;2019;Thailand;1.00153703;0.00173490;0.10867170;28.19;28.19;15.00;22.28;59.58;15
ERW.BK;2018;Thailand;1.00099179;0.00173490;0.06838272;15.00;15.00;15.00;17.00;15.00;17
ERW.BK;2017;Thailand;1.00230060;0.00173490;0.04862211;15.00;15.00;15.00;17.00;15.00;12
ERW.BK;2016;Thailand;0.99886677;0.00173490;0.13380767;15.00;15.00;15.00;17.00;15.00;13
ERW.BK;2015;Thailand;0.99937856;0.00173490;0.11159825;15.00;15.00;15.00;17.00;15.00;12
ERW.BK;2014;Thailand;1.00043195;0.00173490;0.36225000;15.00;15.00;15.00;17.00;15.00;9
KCE.BK;2023;Thailand;0.98197399;0.00173490;0.11552555;59.90;59.90;36.78;68.03;74.23;12
KCE.BK;2022;Thailand;0.97807100;0.00173490;0.03342181;61.25;61.25;34.69;68.88;77.00;10
KCE.BK;2021;Thailand;0.97311695;0.00173490;0.03642962;57.07;57.07;25.14;72.04;70.68;9
KCE.BK;2020;Thailand;0.98549921;0.00173490;0.05693623;55.92;55.92;23.59;70.77;70.24;8
KCE.BK;2019;Thailand;0.98639959;0.00173490;0.05406144;56.36;56.36;15.53;70.51;77.00;8
KCE.BK;2018;Thailand;0.96418562;0.00173490;0.06395864;50.16;50.16;15.00;64.25;71.85;10
KCE.BK;2017;Thailand;0.88168002;0.00173490;0.05367304;57.77;57.77;15.00;71.90;77.00;10
KCE.BK;2016;Thailand;0.91916050;0.00173490;0.03795286;56.72;56.72;15.00;71.68;77.00;12
KCE.BK;2015;Thailand;0.95988488;0.00173490;0.02268209;15.00;15.00;15.00;17.00;15.00;10
KCE.BK;2014;Thailand;0.96805188;0.00173490;0.05620030;15.00;15.00;15.00;17.00;15.00;6
LH.BK;2023;Thailand;0.95963689;0.00173490;0.12122755;62.47;62.47;68.86;75.45;42.02;14
LH.BK;2022;Thailand;0.96214088;0.00173490;0.06505350;53.61;53.61;54.90;76.00;25.86;17
LH.BK;2021;Thailand;0.98688869;0.00173490;0.06589001;39.01;39.01;18.84;68.84;25.71;21
LH.BK;2020;Thailand;0.87608729;0.00173490;0.07641968;43.20;43.20;28.44;70.93;26.97;18
LH.BK;2019;Thailand;1.48541667;0.00173490;0.12105645;39.41;39.41;28.41;59.14;28.34;22
LH.BK;2018;Thailand;0.94033655;0.00173490;0.05006333;29.65;29.65;15.00;51.44;19.93;20
LH.BK;2017;Thailand;0.95848930;0.00173490;0.15719925;27.43;27.43;15.00;54.18;23.18;24
LH.BK;2016;Thailand;0.97016839;0.00173490;0.07195525;15.00;15.00;15.00;17.00;15.00;25
LH.BK;2015;Thailand;0.97195431;0.00173490;0.08003073;15.00;15.00;15.00;17.00;15.00;24
LH.BK;2014;Thailand;0.94102267;0.00173490;0.08798896;15.00;15.00;15.00;17.00;15.00;19
DTCJ.J;2023;South Africa;0.46451613;0.00173490;0.21686747;60.87;60.87;27.09;45.95;77.00;2
DTCJ.J;2022;South Africa;2.34380000;0.00173490;0.00000000;55.07;55.07;17.11;47.71;72.82;1
DTCJ.J;2021;South Africa;0.88222222;0.00173490;0.00000000;57.09;57.09;15.00;49.36;76.64;1
DTCJ.J;2020;South Africa;0.00000000;0.00000000;0.00000000;53.78;53.78;15.00;52.01;67.08;0
DTCJ.J;2019;South Africa;0.00000000;0.00000000;0.00000000;54.66;54.66;22.49;40.08;76.88;1
DTCJ.J;2018;South Africa;0.00000000;0.00000000;0.00000000;56.07;56.07;21.24;46.66;74.61;1
DTCJ.J;2017;South Africa;0.00000000;0.00000000;0.00602410;56.15;56.15;20.30;41.30;77.00;3
DTCJ.J;2016;South Africa;0.93140187;0.00173490;0.03269755;55.09;55.09;15.95;39.69;77.00;2
DTCJ.J;2015;South Africa;0.95193435;0.00173490;0.01841463;54.01;54.01;15.35;39.76;77.00;5
DTCJ.J;2014;South Africa;0.94955752;0.00173490;0.01722222;52.48;52.48;15.00;39.53;76.40;5
AKSA.IS;2023;Turkey;0.99688517;0.00173490;0.00000000;74.00;74.00;74.00;76.00;75.20;1
AKSA.IS;2022;Turkey;0.00000000;0.00000000;0.00000000;74.00;74.00;74.00;76.00;77.00;0
AKSA.IS;2021;Turkey;0.00000000;0.00000000;0.00000000;74.00;74.00;74.00;76.00;77.00;0
AKSA.IS;2020;Turkey;0.00000000;0.00000000;0.00000000;66.23;66.23;60.68;64.18;73.54;0
AKSA.IS;2019;Turkey;0.00000000;0.00000000;0.00000000;53.09;53.09;32.89;60.08;52.97;0
AKSA.IS;2018;Turkey;0.00000000;0.00000000;0.00000000;38.83;38.83;30.59;42.08;38.05;1
AKSA.IS;2017;Turkey;0.00000000;0.00000000;0.03561234;22.13;22.13;17.34;26.42;17.20;2
AKSA.IS;2016;Turkey;0.00000000;0.00000000;0.00000000;15.00;15.00;15.00;17.00;15.00;1
AKSA.IS;2015;Turkey;0.89371020;0.00173490;0.00000000;15.00;15.00;15.00;17.00;15.00;1
AKSA.IS;2014;Turkey;1.31611957;0.00173490;0.04303015;15.00;15.00;15.00;17.00;15.00;3
036460.KS;2023;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.36225000;15.00;15.00;15.00;17.00;15.00;12
036460.KS;2022;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.11514484;61.95;61.95;58.12;76.00;39.49;11
036460.KS;2021;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.17020514;66.76;66.76;54.69;76.00;55.39;12
036460.KS;2020;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.36225000;67.44;67.44;57.08;76.00;57.56;15
036460.KS;2019;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.12701757;73.48;73.48;57.51;76.00;77.00;16
036460.KS;2018;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.04119446;70.34;70.34;60.40;76.00;67.35;15
036460.KS;2017;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.22351542;62.25;62.25;49.85;70.95;66.67;16
036460.KS;2016;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.36225000;64.33;64.33;47.74;70.95;77.00;15
036460.KS;2015;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.08830950;60.28;60.28;38.84;74.15;69.76;18
036460.KS;2014;"Korea; Republic (S. Korea)";2.34380000;0.00173490;0.15000760;68.08;68.08;53.61;74.83;77.00;23
MYPK3.SA;2023;Brazil;0.68374929;0.00173490;0.36225000;15.00;15.00;15.00;17.00;15.00;6
MYPK3.SA;2022;Brazil;2.34380000;0.00173490;0.17919172;43.14;43.14;41.45;40.17;50.57;9
MYPK3.SA;2021;Brazil;0.65473288;0.00173490;0.32952996;43.93;43.93;40.14;40.01;55.90;11
MYPK3.SA;2020;Brazil;1.10496327;0.00173490;0.36225000;41.33;41.33;33.73;41.16;52.27;7
MYPK3.SA;2019;Brazil;0.75790846;0.00173490;0.05153538;37.11;37.11;15.00;43.75;57.26;7
MYPK3.SA;2018;Brazil;0.67814996;0.00173490;0.13320104;15.00;15.00;15.00;17.00;15.00;9
MYPK3.SA;2017;Brazil;0.79362813;0.00173490;0.36225000;15.00;15.00;15.00;17.00;15.00;12
MYPK3.SA;2016;Brazil;0.94575088;0.00173490;0.36225000;15.00;15.00;15.00;17.00;15.00;11
MYPK3.SA;2015;Brazil;0.92893216;0.00173490;0.16532040;15.00;15.00;15.00;17.00;15.00;10
MYPK3.SA;2014;Brazil;0.92992521;0.00173490;0.21573660;15.00;15.00;15.00;17.00;15.00;13
CLSJ.J;2023;South Africa;0.71662441;0.00173490;0.02135222;64.76;64.76;67.89;63.35;64.52;8
CLSJ.J;2022;South Africa;0.69648668;0.00173490;0.04809300;58.40;58.40;74.00;57.75;43.62;4
CLSJ.J;2021;South Africa;0.54853248;0.00173490;0.03424557;55.07;55.07;74.00;59.04;33.19;5
CLSJ.J;2020;South Africa;0.69209034;0.00173490;0.04096797;65.38;65.38;66.49;66.33;62.97;7
CLSJ.J;2019;South Africa;2.07298220;0.00173490;0.02871171;64.52;64.52;64.89;66.56;60.97;10
CLSJ.J;2018;South Africa;0.30909652;0.00173490;0.00949317;63.64;63.64;63.76;59.12;70.75;8
CLSJ.J;2017;South Africa;0.43901996;0.00173490;0.00801331;59.02;59.02;52.44;56.50;68.31;9
CLSJ.J;2016;South Africa;0.54726578;0.00173490;0.00746762;56.46;56.46;48.87;45.23;77.00;12
CLSJ.J;2015;South Africa;0.50946244;0.00173490;0.00815398;54.43;54.43;52.92;49.35;63.74;9
CLSJ.J;2014;South Africa;0.51291796;0.00173490;0.01022424;52.88;52.88;46.85;49.11;63.73;10
CSBJ.J;2023;South Africa;0.20919430;0.00173490;0.00000000;64.17;64.17;34.21;62.20;77.00;1
CSBJ.J;2022;South Africa;0.00000000;0.00000000;0.00000000;62.10;62.10;34.65;70.09;66.95;0
CSBJ.J;2021;South Africa;0.00000000;0.00000000;0.00000000;59.64;59.64;31.18;68.18;64.37;0
CSBJ.J;2020;South Africa;0.02395954;0.00173490;0.00000000;59.97;59.97;25.37;63.15;73.75;1
CSBJ.J;2019;South Africa;0.00000000;0.00000000;0.00000000;56.52;56.52;15.00;61.31;73.28;0
CSBJ.J;2018;South Africa;0.92940653;0.00173490;0.00000000;50.08;50.08;15.00;46.57;71.81;2
CSBJ.J;2017;South Africa;1.28416254;0.00173490;0.00000000;48.11;48.11;15.00;46.39;71.46;2
CSBJ.J;2016;South Africa;1.05425449;0.00173490;0.03162170;44.13;44.13;15.00;38.04;70.44;2
CSBJ.J;2015;South Africa;2.34380000;0.00173490;0.00000000;45.24;45.24;15.00;39.21;68.85;1
CSBJ.J;2014;South Africa;0.39903846;0.00173490;0.00000000;46.75;46.75;15.00;46.96;65.33;1
CIMSA.IS;2023;Turkey;0.00000000;0.00000000;0.01315789;74.00;74.00;74.00;76.00;72.40;2
CIMSA.IS;2022;Turkey;0.90803136;0.00173490;0.00000000;74.00;74.00;74.00;76.00;68.04;1
CIMSA.IS;2021;Turkey;0.00000000;0.00000000;0.00000000;74.00;74.00;74.00;76.00;64.77;1
CIMSA.IS;2020;Turkey;0.00000000;0.00000000;0.00704920;64.47;64.47;53.57;76.00;55.35;4
CIMSA.IS;2019;Turkey;0.00000000;0.00000000;0.13848805;15.00;15.00;15.00;17.00;15.00;4
CIMSA.IS;2018;Turkey;0.00000000;0.00000000;0.13535200;15.00;15.00;15.00;17.00;15.00;5
CIMSA.IS;2017;Turkey;0.96504009;0.00173490;0.06042185;15.00;15.00;15.00;17.00;15.00;5
CIMSA.IS;2016;Turkey;0.00000000;0.00000000;0.08725364;15.00;15.00;15.00;17.00;15.00;7
CIMSA.IS;2015;Turkey;0.00000000;0.00000000;0.03074030;15.00;15.00;15.00;17.00;15.00;7
CIMSA.IS;2014;Turkey;0.00000000;0.00000000;0.09919309;15.00;15.00;15.00;17.00;15.00;7
KAPJ.J;2023;South Africa;0.00000000;0.00000000;0.10145570;53.40;53.40;32.47;55.80;77.00;4
KAPJ.J;2022;South Africa;0.00000000;0.00000000;0.02823805;50.48;50.48;17.91;66.54;72.12;3
KAPJ.J;2021;South Africa;0.00000000;0.00000000;0.09890110;48.37;48.37;23.12;66.16;56.44;2
KAPJ.J;2020;South Africa;0.00000000;0.00000000;0.36225000;50.64;45.32;29.74;52.62;77.00;6
KAPJ.J;2019;South Africa;0.82163421;0.00173490;0.07020261;53.82;53.82;28.34;59.58;77.00;6
KAPJ.J;2018;South Africa;0.40047936;0.00173490;0.02964933;30.18;30.18;15.00;42.71;36.99;6
KAPJ.J;2017;South Africa;0.76110663;0.00173490;0.04140721;27.61;27.61;15.69;32.71;36.80;4
KAPJ.J;2016;South Africa;0.78257892;0.00173490;0.01118067;29.52;29.52;15.00;30.48;51.13;4
KAPJ.J;2015;South Africa;0.00000000;0.00000000;0.00000000;34.51;34.51;15.00;27.95;75.33;2
KAPJ.J;2014;South Africa;0.52396193;0.00173490;0.00000000;35.64;35.64;16.37;33.40;67.54;1
BVTJ.J;2023;South Africa;2.34380000;0.00173490;0.06161087;34.83;34.83;27.09;34.26;46.64;8
BVTJ.J;2022;South Africa;2.34380000;0.00173490;0.04382075;40.64;40.64;31.32;44.04;48.79;7
BVTJ.J;2021;South Africa;1.78908251;0.00173490;0.04355535;40.71;40.71;24.67;41.10;63.61;7
BVTJ.J;2020;South Africa;0.47825703;0.00173490;0.22057923;40.63;40.63;16.30;36.68;77.00;9
BVTJ.J;2019;South Africa;1.41780926;0.00173490;0.01398177;36.05;36.05;15.00;34.03;71.42;9
BVTJ.J;2018;South Africa;1.00158947;0.00173490;0.02268757;40.67;40.67;15.00;45.06;75.25;10
BVTJ.J;2017;South Africa;0.79282664;0.00173490;0.01680589;47.74;47.74;26.60;45.36;77.00;12
BVTJ.J;2016;South Africa;1.09432907;0.00173490;0.03899778;40.77;40.77;26.68;45.35;53.97;10
BVTJ.J;2015;South Africa;2.34380000;0.00173490;0.01199964;43.90;43.90;22.35;47.62;69.44;11
BVTJ.J;2014;South Africa;0.88948766;0.00173490;0.02772775;46.51;46.51;22.87;53.21;70.30;9
ENKAI.IS;2023;Turkey;0.00000000;0.00000000;0.00000000;15.00;15.00;15.00;17.00;15.00;
ENKAI.IS;2022;Turkey;0.55448690;0.00173490;0.36225000;74.00;74.00;74.00;76.00;77.00;2
ENKAI.IS;2021;Turkey;0.00000000;0.00000000;0.03205733;74.00;74.00;74.00;76.00;66.34;2
ENKAI.IS;2020;Turkey;0.07618882;0.00173490;0.09691985;74.00;74.00;74.00;76.00;76.62;3
ENKAI.IS;2019;Turkey;0.23325849;0.00173490;0.14094463;74.00;74.00;74.00;76.00;55.81;3
ENKAI.IS;2018;Turkey;0.41630636;0.00173490;0.09158308;74.00;74.00;74.00;76.00;48.54;4
